product,currency,customer_gender,day_of_week,order_date,order_id,taxful_total_price,total_quantity,geoip.continent_name,geoip.city_name
Planches d’équilibre,EUR,FEMALE,Tuesday,2025-01-14T12:15:50+00:00,576696,74.98,2,North America,New York
Pantalon de survêtement,EUR,FEMALE,Monday,2025-01-13T12:47:31+00:00,575420,60.98,2,Africa,Marrakesh
Tapis de yoga,EUR,FEMALE,Thursday,2025-01-16T23:29:46+00:00,579953,55.98,2,Africa,Cairo
Sac à dos de randonnée,EUR,FEMALE,Friday,2025-01-17T00:18:43+00:00,579996,63.98,2,Asia,Dubai
Maillot de bain,EUR,MALE,Friday,2025-01-17T00:59:02+00:00,580047,27.98,2,Africa,Marrakesh
Masque de plongée,EUR,FEMALE,Friday,2025-01-17T01:33:36+00:00,580088,49.98,2,North America,New York
Haltères,EUR,MALE,Friday,2025-01-17T02:57:07+00:00,580168,36.98,2,Africa,Marrakesh
Bonnet de natation,EUR,FEMALE,Tuesday,2025-01-14T16:07:41+00:00,576925,87.98,2,South America,Bogotu00e1
Casquette de sport,EUR,FEMALE,Friday,2025-01-10T00:15:50+00:00,570708,116.98,2,Europe,
Chaussures de course,EUR,FEMALE,Thursday,2025-01-09T21:04:19+00:00,570552,97.98,2,North America,New York
Protège-dents,EUR,FEMALE,Friday,2025-01-17T03:44:38+00:00,580214,40.98,2,Africa,Cairo
Rouleau de massage,EUR,MALE,Friday,2025-01-17T05:24:00+00:00,580305,36.98,2,Asia,Dubai
Rouleau de massage,EUR,FEMALE,Monday,2025-01-13T19:52:19+00:00,575780,81.98,2,Africa,Marrakesh
Veste de sport,EUR,MALE,Thursday,2025-01-16T04:55:12+00:00,578926,31.98,2,Asia,Istanbul
Protège-dents,EUR,MALE,Thursday,2025-01-16T05:51:22+00:00,578975,221.98,2,Africa,Marrakesh
Maillot de bain,EUR,FEMALE,Thursday,2025-01-16T06:33:07+00:00,579014,91.98,2,Africa,Marrakesh
Patins à glace,EUR,MALE,Thursday,2025-01-16T00:02:53+00:00,578650,119.98,2,Asia,Istanbul
Tapis de yoga,EUR,MALE,Tuesday,2025-01-14T00:25:55+00:00,576030,101.98,2,Africa,Cairo
Palmes de natation,EUR,FEMALE,Tuesday,2025-01-14T00:47:31+00:00,576063,59.98,2,North America,New York
Roller,EUR,MALE,Monday,2025-01-13T07:22:05+00:00,575119,89.98,2,Africa,Marrakesh
Ballon de football,EUR,MALE,Wednesday,2025-01-08T08:12:29+00:00,568397,61.98,2,Europe,
Bonnet de natation,EUR,MALE,Wednesday,2025-01-08T01:26:24+00:00,568044,31.98,2,Europe,
Raquette de badminton,EUR,FEMALE,Saturday,2025-01-25T12:34:34+00:00,591503,41.98,2,Europe,Cannes
Chaussures de football,EUR,FEMALE,Tuesday,2025-01-14T03:30:14+00:00,576205,49.98,2,North America,New York
Ballon de football,EUR,FEMALE,Friday,2025-01-24T00:28:48+00:00,589477,70.98,2,Africa,Cairo
Bonnet de natation,EUR,FEMALE,Wednesday,2025-01-15T19:35:02+00:00,578409,103.98,2,Europe,Cannes
Lunettes de natation,EUR,FEMALE,Wednesday,2025-01-22T21:04:19+00:00,587954,22.98,2,Asia,Dubai
Vélos d’appartement,EUR,FEMALE,Wednesday,2025-01-22T22:00:29+00:00,588016,58.98,2,Asia,Dubai
Serviette de sport,EUR,FEMALE,Wednesday,2025-01-22T09:43:12+00:00,587327,39.98,2,Africa,Cairo
Palmes de natation,EUR,FEMALE,Friday,2025-01-03T19:55:12+00:00,562351,78.98,2,Europe,Monte Carlo
Masque de plongée,EUR,FEMALE,Monday,2025-01-20T12:51:50+00:00,584875,54.98,2,Asia,
Serviette de sport,EUR,MALE,Monday,2025-01-20T14:02:24+00:00,584941,57.98,2,Africa,Cairo
Bonnet de natation,EUR,MALE,Sunday,2025-01-19T16:30:43+00:00,583706,85.98,2,North America,Los Angeles
Planche de surf,EUR,FEMALE,Sunday,2025-01-19T12:20:10+00:00,583446,47.98,2,Europe,Monte Carlo
Gants de cyclisme,EUR,MALE,Sunday,2024-12-29T14:06:43+00:00,555236,65.98,2,Africa,Marrakesh
Raquette de tennis,EUR,MALE,Sunday,2024-12-29T15:02:53+00:00,555286,234.98,2,North America,Los Angeles
Chaussures de trail,EUR,FEMALE,Thursday,2024-12-26T07:09:07+00:00,550771,74.98,2,Europe,Cannes
Clubs de golf,EUR,MALE,Thursday,2024-12-26T07:56:38+00:00,550810,52.98,2,Asia,Istanbul
Gants de cyclisme,EUR,FEMALE,Thursday,2024-12-26T09:21:36+00:00,550900,92.98,2,North America,New York
Lunettes de natation,EUR,FEMALE,Thursday,2024-12-26T00:23:02+00:00,550405,71.98,2,North America,New York
Ski,EUR,MALE,Friday,2024-12-27T10:42:14+00:00,552346,70.98,2,Asia,Istanbul
Rouleau de massage,EUR,FEMALE,Friday,2024-12-27T11:55:41+00:00,552413,62.98,2,North America,New York
Ballon de basketball,EUR,FEMALE,Friday,2024-12-27T03:56:10+00:00,551965,121.98,2,Asia,Dubai
Chaussures de piscine,EUR,FEMALE,Friday,2024-12-27T01:32:10+00:00,551818,49.98,2,Africa,Marrakesh
Chaussures de trail,EUR,MALE,Thursday,2025-01-02T22:37:55+00:00,561124,29.98,2,North America,New York
Gourde de sport,EUR,FEMALE,Thursday,2025-01-02T23:16:48+00:00,561169,41.98,2,Asia,Dubai
Protège-dents,EUR,FEMALE,Saturday,2025-01-04T04:30:43+00:00,562835,35.98,2,Europe,
Chaussures de trail,EUR,MALE,Saturday,2025-01-04T05:15:22+00:00,562882,31.98,2,Asia,Istanbul
Bandes élastiques de musculation,EUR,FEMALE,Saturday,2025-01-04T00:50:24+00:00,562629,24.98,2,South America,Bogotu00e1
Gants de cyclisme,EUR,MALE,Saturday,2025-01-04T01:45:07+00:00,562672,18.98,2,North America,New York
Palmes de natation,EUR,MALE,Friday,2024-12-27T17:21:07+00:00,552715,22.98,2,Asia,Abu Dhabi
Casquette de sport,EUR,FEMALE,Saturday,2025-01-11T01:32:10+00:00,572116,136.98,2,Europe,Cannes
Masque de plongée,EUR,FEMALE,Saturday,2025-01-11T05:54:14+00:00,572360,57.98,2,Asia,Dubai
Planches d’équilibre,EUR,FEMALE,Saturday,2025-01-11T06:30:14+00:00,572407,28.98,2,Asia,Dubai
Paddle gonflable,EUR,MALE,Friday,2025-01-10T22:20:38+00:00,571941,57.98,2,Europe,
Casque de vélo,EUR,MALE,Friday,2025-01-10T23:22:34+00:00,571995,31.98,2,Africa,Cairo
Chaussures de course,EUR,MALE,Saturday,2025-01-11T07:10:34+00:00,572448,52.98,2,North America,Los Angeles
Lunettes de natation,EUR,MALE,Saturday,2025-01-11T07:43:41+00:00,572484,82.98,2,Europe,
Casque de vélo,EUR,FEMALE,Saturday,2025-01-11T08:18:14+00:00,572515,101.98,2,North America,New York
Gants de boxe,EUR,MALE,Thursday,2025-01-16T10:04:48+00:00,579212,76.98,2,Asia,Abu Dhabi
Maillot de bain,EUR,FEMALE,Friday,2025-01-17T06:28:48+00:00,580356,75.98,2,Europe,Cannes
Snowboard,EUR,FEMALE,Thursday,2025-01-16T20:42:43+00:00,579807,46.98,2,Europe,
Filet de volleyball,EUR,FEMALE,Thursday,2025-01-16T21:02:53+00:00,579826,78.98,2,Africa,Cairo
Chaussures de randonnée,EUR,FEMALE,Saturday,2024-12-28T06:33:07+00:00,553438,50.98,2,South America,Bogotu00e1
Shorts de running,EUR,FEMALE,Saturday,2024-12-28T07:32:10+00:00,553489,36.98,2,Africa,Cairo
Masque de plongée,EUR,MALE,Thursday,2025-01-09T20:44:10+00:00,570520,133.98,2,Asia,Dubai
Sac de sport,EUR,FEMALE,Thursday,2025-01-09T21:24:29+00:00,570569,26.98,2,Africa,Marrakesh
Chaussures de football,EUR,FEMALE,Friday,2025-01-17T02:05:17+00:00,580112,22.98,2,Europe,Cannes
Gants de cyclisme,EUR,FEMALE,Saturday,2025-01-18T15:08:38+00:00,582258,39.98,2,Asia,
Chaussures de trail,EUR,FEMALE,Monday,2025-01-13T19:45:07+00:00,575772,73.98,2,Asia,Dubai
Patins à glace,EUR,MALE,Monday,2025-01-13T20:09:36+00:00,575797,25.98,2,North America,New York
Paddle gonflable,EUR,MALE,Thursday,2025-01-16T05:29:46+00:00,578957,36.98,2,Africa,Cairo
Roller,EUR,MALE,Wednesday,2025-01-15T23:31:12+00:00,578618,96.98,2,Asia,Abu Dhabi
Pantalon de survêtement,EUR,FEMALE,Thursday,2025-01-16T00:27:22+00:00,578672,53.98,2,Africa,Marrakesh
Rouleau de massage,EUR,MALE,Tuesday,2025-01-14T00:59:02+00:00,576071,239.98,2,Asia,Istanbul
Raquette de tennis,EUR,FEMALE,Tuesday,2025-01-14T01:45:07+00:00,576112,81.98,2,Europe,Birmingham
Chaussures de randonnée,EUR,FEMALE,Monday,2025-01-13T13:50:53+00:00,575475,28.98,2,North America,New York
Ski,EUR,MALE,Sunday,2025-01-12T16:12:00+00:00,574267,124.98,2,Asia,
Ballon de football,EUR,FEMALE,Wednesday,2025-01-15T21:43:12+00:00,578522,87.98,2,North America,Los Angeles
Ski,EUR,FEMALE,Wednesday,2025-01-15T15:23:02+00:00,578190,126.98,2,Africa,Marrakesh
Haltères,EUR,MALE,Wednesday,2025-01-15T15:59:02+00:00,578235,49.98,2,North America,New York
Serviette de sport,EUR,FEMALE,Thursday,2025-01-16T02:15:22+00:00,578775,92.98,2,North America,New York
Bandes élastiques de musculation,EUR,MALE,Monday,2025-01-13T18:54:43+00:00,575730,89.98,2,Europe,
Gants de cyclisme,EUR,MALE,Wednesday,2025-01-15T02:35:31+00:00,577475,116.98,2,North America,New York
Ballon de football,EUR,MALE,Wednesday,2025-01-15T03:34:34+00:00,577527,54.98,2,Europe,Birmingham
Patins à glace,EUR,MALE,Tuesday,2025-01-14T12:40:19+00:00,576721,32.98,2,Europe,Birmingham
Veste de sport,EUR,MALE,Monday,2025-01-06T10:33:36+00:00,565915,58.98,2,Asia,Abu Dhabi
Gants de boxe,EUR,MALE,Tuesday,2025-01-07T21:57:36+00:00,567868,49.98,2,Africa,Cairo
Gants de cyclisme,EUR,FEMALE,Wednesday,2025-01-08T04:58:05+00:00,568229,22.98,2,North America,New York
Casquette de sport,EUR,MALE,Wednesday,2025-01-08T06:17:17+00:00,568292,35.98,2,Asia,Istanbul
Patins à glace,EUR,MALE,Tuesday,2025-01-21T12:54:43+00:00,713616,148.96,4,North America,Los Angeles
Palmes de natation,EUR,FEMALE,Sunday,2025-01-12T13:19:12+00:00,733113,173.96,4,North America,New York
Veste de sport,EUR,FEMALE,Monday,2025-01-13T22:19:12+00:00,732884,129.96,4,North America,New York
Haltères,EUR,MALE,Monday,2024-12-30T09:41:46+00:00,556315,43.98,2,North America,Los Angeles
Gants de boxe,EUR,MALE,Monday,2024-12-30T14:11:02+00:00,556558,64.98,2,North America,Los Angeles
Paddle gonflable,EUR,FEMALE,Monday,2024-12-30T14:48:29+00:00,556593,124.98,2,Europe,Cannes
Raquette de tennis,EUR,FEMALE,Monday,2024-12-30T18:02:53+00:00,556757,42.98,2,North America,New York
Protège-dents,EUR,MALE,Monday,2024-12-30T18:40:19+00:00,556787,99.98,2,Asia,Dubai
Filet de volleyball,EUR,FEMALE,Monday,2024-12-30T19:53:46+00:00,556871,99.98,2,North America,New York
Pantalon de survêtement,EUR,MALE,Thursday,2025-01-23T18:23:02+00:00,716169,127.96,4,Asia,Abu Dhabi
Ballon de basketball,EUR,MALE,Friday,2025-01-24T03:53:17+00:00,716365,128.96,4,Asia,Istanbul
Tapis de yoga,EUR,MALE,Tuesday,2025-01-21T01:07:41+00:00,585543,89.98,2,Asia,Dubai
Vélos d’appartement,EUR,MALE,Saturday,2025-01-18T03:31:41+00:00,718250,132.96,4,North America,Los Angeles
Montre de sport,EUR,FEMALE,Saturday,2024-12-28T15:18:43+00:00,553951,54.98,2,North America,New York
Masque de plongée,EUR,FEMALE,Monday,2025-01-06T18:28:48+00:00,566343,70.98,2,North America,New York
Chaussures de piscine,EUR,FEMALE,Monday,2025-01-06T19:33:36+00:00,566400,49.98,2,North America,Los Angeles
Masque de plongée,EUR,FEMALE,Tuesday,2025-01-07T14:54:14+00:00,567446,89.98,2,Africa,Marrakesh
Chaussures de football,EUR,MALE,Saturday,2025-01-18T15:54:43+00:00,582306,57.98,2,Europe,Cannes
Bonnet de natation,EUR,FEMALE,Saturday,2025-01-18T20:48:29+00:00,582575,141.98,2,North America,New York
Sac à dos de randonnée,EUR,FEMALE,Thursday,2024-12-26T04:16:19+00:00,550622,100.98,2,Europe,Cannes
Bandes élastiques de musculation,EUR,FEMALE,Friday,2024-12-27T16:10:34+00:00,552650,124.98,2,Europe,Birmingham
Protège-dents,EUR,MALE,Wednesday,2025-01-22T11:35:31+00:00,587443,139.98,2,Europe,Birmingham
Raquette de badminton,EUR,FEMALE,Wednesday,2025-01-22T12:28:48+00:00,587491,66.98,2,Europe,Cannes
Casquette de sport,EUR,FEMALE,Wednesday,2025-01-22T12:54:43+00:00,587519,25.98,2,Asia,Dubai
Sac de sport,EUR,FEMALE,Wednesday,2025-01-22T13:23:31+00:00,587548,65.98,2,North America,New York
Gants de cyclisme,EUR,MALE,Wednesday,2025-01-22T13:56:38+00:00,587576,49.98,2,Africa,Cairo
Gants de boxe,EUR,FEMALE,Wednesday,2025-01-22T14:39:50+00:00,587615,45.98,2,Europe,Birmingham
Raquette de badminton,EUR,FEMALE,Saturday,2025-01-18T02:44:10+00:00,581487,71.98,2,Asia,Dubai
Bandes élastiques de musculation,EUR,MALE,Saturday,2025-01-18T06:21:36+00:00,581695,107.98,2,Europe,
Shorts de running,EUR,FEMALE,Saturday,2025-01-18T03:21:36+00:00,581527,101.98,2,Europe,
Ballon de football,EUR,MALE,Saturday,2025-01-18T04:23:31+00:00,581569,74.98,2,Asia,Abu Dhabi
Corde à sauter,EUR,MALE,Sunday,2025-01-05T13:03:22+00:00,564670,99.98,2,Africa,Marrakesh
Gourde de sport,EUR,FEMALE,Sunday,2025-01-05T13:46:34+00:00,564710,53.98,2,North America,New York
Ski,EUR,FEMALE,Friday,2025-01-03T07:40:48+00:00,561666,51.98,2,North America,Los Angeles
Tapis de yoga,EUR,FEMALE,Friday,2025-01-03T00:37:26+00:00,561236,45.98,2,Asia,Dubai
Serviette de sport,EUR,MALE,Friday,2025-01-03T01:26:24+00:00,561290,99.98,2,Africa,Marrakesh
Gourde de sport,EUR,MALE,Friday,2025-01-03T08:48:29+00:00,561739,49.98,2,Africa,Cairo
Chaussures de trail,EUR,FEMALE,Friday,2025-01-03T09:41:46+00:00,561786,55.98,2,Asia,Dubai
Bandes élastiques de musculation,EUR,FEMALE,Sunday,2025-01-05T08:52:48+00:00,564429,74.98,2,Europe,Birmingham
Masque de plongée,EUR,MALE,Sunday,2025-01-05T09:43:12+00:00,564479,85.98,2,North America,Los Angeles
Planches d’équilibre,EUR,MALE,Sunday,2025-01-05T10:16:19+00:00,564513,83.98,2,Africa,Cairo
Haltères,EUR,FEMALE,Saturday,2025-01-04T11:19:41+00:00,563193,22.98,2,Africa,Cairo
Ski,EUR,MALE,Saturday,2025-01-04T15:44:38+00:00,563440,95.98,2,North America,Los Angeles
Protège-dents,EUR,MALE,Saturday,2025-01-04T16:27:50+00:00,563485,48.98,2,North America,New York
Lunettes de natation,EUR,MALE,Monday,2024-12-30T01:49:26+00:00,555874,35.98,2,Europe,Cannes
Pantalon de survêtement,EUR,FEMALE,Sunday,2024-12-29T23:49:55+00:00,555773,128.98,2,North America,New York
Gourde de sport,EUR,FEMALE,Monday,2025-01-06T07:58:05+00:00,565776,62.98,2,North America,Los Angeles
Lunettes de natation,EUR,FEMALE,Thursday,2025-01-23T08:26:53+00:00,588615,52.98,2,Asia,Dubai
Planches d’équilibre,EUR,FEMALE,Thursday,2025-01-09T13:56:38+00:00,570133,74.98,2,Europe,Cannes
Pantalon de survêtement,EUR,MALE,Thursday,2025-01-09T14:26:53+00:00,570161,35.98,2,Asia,Abu Dhabi
Ski,EUR,FEMALE,Thursday,2025-01-09T15:05:46+00:00,570200,61.98,2,Europe,Monte Carlo
Kettlebell,EUR,FEMALE,Friday,2025-01-10T06:23:02+00:00,571062,35.98,2,Asia,
Tapis de yoga,EUR,MALE,Monday,2025-01-06T22:56:38+00:00,566607,41.98,2,Europe,Cannes
Chaussures de course,EUR,MALE,Tuesday,2025-01-07T12:53:17+00:00,567340,58.98,2,Europe,
Sac de sport,EUR,FEMALE,Thursday,2025-01-02T08:45:36+00:00,560334,97.98,2,Europe,
Sac de sport,EUR,MALE,Monday,2025-01-20T01:46:34+00:00,584261,104.98,2,Asia,
Serviette de sport,EUR,FEMALE,Monday,2025-01-20T02:44:10+00:00,584313,68.98,2,Asia,Dubai
Filet de volleyball,EUR,FEMALE,Monday,2025-01-20T07:26:24+00:00,584566,20.98,2,Europe,Birmingham
Pantalon de survêtement,EUR,MALE,Sunday,2024-12-29T23:58:34+00:00,555784,28.98,2,North America,Los Angeles
Chaussures de trail,EUR,FEMALE,Sunday,2024-12-29T23:21:07+00:00,555739,144.98,2,Africa,Marrakesh
Snowboard,EUR,MALE,Tuesday,2024-12-31T01:42:14+00:00,557228,38.98,2,Asia,
Shorts de running,EUR,MALE,Tuesday,2024-12-31T02:28:19+00:00,557262,166.98,2,North America,Los Angeles
Maillot de bain,EUR,MALE,Tuesday,2024-12-31T03:17:17+00:00,557307,170.98,2,Asia,Istanbul
Bonnet de natation,EUR,FEMALE,Monday,2025-01-20T08:44:10+00:00,584639,32.98,2,North America,New York
Pantalon de survêtement,EUR,MALE,Friday,2025-01-17T07:49:26+00:00,580442,77.98,2,North America,Los Angeles
Shorts de running,EUR,MALE,Friday,2025-01-17T08:34:05+00:00,580488,75.98,2,Asia,Istanbul
Sac à dos de randonnée,EUR,MALE,Wednesday,2025-01-01T16:00:29+00:00,559416,74.98,2,South America,Bogotu00e1
Masque de plongée,EUR,MALE,Tuesday,2024-12-31T17:48:29+00:00,558160,139.98,2,North America,New York
Planche de surf,EUR,FEMALE,Tuesday,2024-12-31T18:21:36+00:00,558203,30.98,2,Europe,Cannes
Veste de sport,EUR,MALE,Monday,2025-01-20T17:36:58+00:00,585134,40.98,2,Europe,
Kettlebell,EUR,MALE,Monday,2025-01-20T18:34:34+00:00,585178,64.98,2,North America,Los Angeles
Bouteille isotherme,EUR,MALE,Monday,2025-01-20T21:28:48+00:00,585335,45.98,2,Asia,Abu Dhabi
Ballon de football,EUR,FEMALE,Monday,2025-01-20T22:19:12+00:00,585381,52.98,2,North America,New York
Paddle gonflable,EUR,MALE,Monday,2025-01-20T19:26:24+00:00,585228,124.98,2,Africa,Cairo
Vélos d’appartement,EUR,FEMALE,Monday,2025-01-20T19:58:05+00:00,585263,46.98,2,North America,New York
Serviette de sport,EUR,MALE,Monday,2025-01-20T15:31:41+00:00,585022,121.98,2,North America,Los Angeles
Raquette de badminton,EUR,FEMALE,Friday,2025-01-03T20:41:17+00:00,562400,66.98,2,Europe,
Haltères,EUR,FEMALE,Saturday,2025-01-18T00:00:00+00:00,581334,84.98,2,Europe,Cannes
Chaussures de piscine,EUR,MALE,Saturday,2025-01-18T01:37:55+00:00,581419,85.98,2,Africa,Marrakesh
Snowboard,EUR,FEMALE,Wednesday,2025-01-01T00:04:19+00:00,558539,30.98,2,Asia,
Protège-dents,EUR,MALE,Wednesday,2025-01-01T00:50:24+00:00,558595,80.98,2,Africa,Marrakesh
Sac à dos de randonnée,EUR,MALE,Wednesday,2025-01-01T13:04:48+00:00,559245,101.98,2,Africa,Marrakesh
Veste de sport,EUR,FEMALE,Wednesday,2025-01-01T13:33:36+00:00,559269,97.98,2,North America,New York
Clubs de golf,EUR,FEMALE,Wednesday,2025-01-01T14:18:14+00:00,559316,34.98,2,Asia,
Shorts de running,EUR,FEMALE,Monday,2025-01-06T02:18:14+00:00,565452,56.98,2,North America,New York
Roller,EUR,MALE,Wednesday,2025-01-08T08:06:43+00:00,568386,109.98,2,North America,Los Angeles
Ballon de basketball,EUR,FEMALE,Wednesday,2025-01-08T01:06:14+00:00,568023,28.98,2,North America,New York
Masque de plongée,EUR,FEMALE,Monday,2025-01-06T12:54:43+00:00,566051,74.98,2,Europe,Birmingham
Shorts de running,EUR,MALE,Sunday,2025-01-12T23:02:24+00:00,719016,148.96,4,Africa,Cairo
Snowboard,EUR,FEMALE,Thursday,2024-12-26T15:21:36+00:00,726702,148.96,4,North America,New York
Chaussures de football,EUR,MALE,Thursday,2025-01-16T14:47:02+00:00,579485,70.99,2,Africa,Marrakesh
Chaussures de trail,EUR,MALE,Thursday,2025-01-16T18:00:00+00:00,579661,96.98,2,Asia,Dubai
Veste de sport,EUR,MALE,Thursday,2025-01-16T18:51:50+00:00,579713,54.98,2,Europe,
Filet de volleyball,EUR,FEMALE,Friday,2025-01-10T15:38:53+00:00,571571,35.98,2,Asia,Dubai
Masque de plongée,EUR,FEMALE,Friday,2025-01-10T14:47:02+00:00,571529,66.98,2,Asia,Dubai
Snowboard,EUR,FEMALE,Friday,2025-01-10T16:53:46+00:00,571634,78.98,2,Europe,Cannes
Patins à glace,EUR,MALE,Friday,2025-01-10T20:02:24+00:00,571813,43.98,2,Africa,Marrakesh
Kettlebell,EUR,MALE,Sunday,2025-01-12T06:25:55+00:00,573745,39.98,2,Africa,Cairo
Sac à dos de randonnée,EUR,MALE,Sunday,2025-01-12T07:13:26+00:00,573794,63.98,2,North America,Los Angeles
Sac à dos de randonnée,EUR,FEMALE,Wednesday,2025-01-15T04:50:53+00:00,731773,99.96,4,North America,New York
Gourde de sport,EUR,FEMALE,Wednesday,2025-01-22T20:19:41+00:00,730016,188.96,4,North America,New York
Masque de plongée,EUR,FEMALE,Sunday,2025-01-19T12:10:05+00:00,731147,173.96,4,Europe,Monte Carlo
Chaussures de trail,EUR,MALE,Thursday,2025-01-23T05:54:14+00:00,717415,149.96,4,Africa,Cairo
Chaussures de trail,EUR,MALE,Saturday,2025-01-18T16:49:26+00:00,717911,54.96,4,Asia,Istanbul
Roller,EUR,MALE,Friday,2025-01-17T23:52:48+00:00,581327,51.98,2,Europe,Birmingham
Bandes élastiques de musculation,EUR,MALE,Saturday,2025-01-18T00:51:50+00:00,581375,45.98,2,Asia,
Planches d’équilibre,EUR,FEMALE,Saturday,2025-01-18T02:12:29+00:00,581451,57.98,2,South America,Bogotu00e1
Bonnet de natation,EUR,MALE,Wednesday,2025-01-01T00:28:48+00:00,558564,86.98,2,Asia,Istanbul
Corde à sauter,EUR,FEMALE,Wednesday,2025-01-01T00:53:17+00:00,558600,118.98,2,Asia,Dubai
Kettlebell,EUR,FEMALE,Wednesday,2025-01-01T12:51:50+00:00,559233,61.98,2,North America,New York
Rouleau de massage,EUR,MALE,Wednesday,2025-01-01T13:58:05+00:00,559293,105.98,2,North America,New York
Casque de vélo,EUR,FEMALE,Wednesday,2025-01-01T10:48:00+00:00,559114,28.98,2,North America,New York
Vélos d’appartement,EUR,MALE,Monday,2025-01-06T02:31:12+00:00,565466,86.98,2,Asia,Abu Dhabi
Patins à glace,EUR,FEMALE,Tuesday,2025-01-21T15:24:29+00:00,586320,74.98,2,Africa,Marrakesh
Corde à sauter,EUR,FEMALE,Tuesday,2025-01-21T16:26:24+00:00,586374,70.98,2,North America,New York
Bonnet de natation,EUR,FEMALE,Sunday,2025-01-19T06:12:58+00:00,724234,63.96,4,Europe,Monte Carlo
Kettlebell,EUR,FEMALE,Saturday,2025-01-11T08:32:38+00:00,730455,171.96,4,Europe,Monte Carlo
Chaussures de randonnée,EUR,FEMALE,Saturday,2024-12-28T13:35:02+00:00,732305,88.96,4,Asia,Dubai
Haltères,EUR,FEMALE,Thursday,2025-01-09T11:38:24+00:00,732050,131.96,4,North America,New York
Lunettes de natation,EUR,FEMALE,Tuesday,2025-01-14T19:17:46+00:00,727774,148.96,4,North America,New York
Paddle gonflable,EUR,FEMALE,Sunday,2025-01-19T07:04:48+00:00,728437,157.96,4,Europe,Monte Carlo
Planche de surf,EUR,FEMALE,Thursday,2025-01-23T07:03:22+00:00,732216,156.96,4,North America,New York
Snowboard,EUR,FEMALE,Sunday,2024-12-29T06:56:10+00:00,723426,173.96,4,North America,New York
Chaussures de football,EUR,FEMALE,Thursday,2025-01-16T23:32:38+00:00,579958,101.98,2,Asia,
Chaussures de course,EUR,MALE,Friday,2025-01-17T00:15:50+00:00,579992,144.98,2,South America,Bogotu00e1
Serviette de sport,EUR,FEMALE,Friday,2024-12-27T20:48:29+00:00,727373,155.96,4,North America,New York
Lunettes de natation,EUR,MALE,Thursday,2025-01-16T13:30:43+00:00,721959,121.96,4,North America,Los Angeles
Pantalon de survêtement,EUR,MALE,Thursday,2025-01-09T02:52:48+00:00,719675,143.96,4,Africa,Cairo
Bouteille isotherme,EUR,MALE,Thursday,2025-01-16T16:12:00+00:00,719618,99.96,4,Africa,Cairo
Chaussures de trail,EUR,MALE,Monday,2025-01-13T22:17:46+00:00,575923,40.98,2,North America,New York
Vélos d’appartement,EUR,FEMALE,Monday,2025-01-13T23:06:43+00:00,575963,30.98,2,Europe,Birmingham
Gants de boxe,EUR,MALE,Monday,2025-01-13T23:47:02+00:00,575988,101.98,2,Asia,Istanbul
Shorts de running,EUR,MALE,Tuesday,2025-01-14T00:07:12+00:00,576007,45.98,2,North America,New York
Chaussures de piscine,EUR,MALE,Monday,2025-01-13T18:05:46+00:00,575700,32.98,2,Africa,Cairo
